id,Instance of,Title,Genre,Duration,Publication date,Netflix ID,Disney+ movie ID,Disney+ series ID,Hulu ID
Q73622,tv,Futurama,"['Q336059', 'Q170238', 'Q761469', 'Q9335576']",22.0,,70153380,,4B9X20Pjihaf,85bf4cc1-cd8b-4469-ad87-7289217a0b74
Q75682,anime,Naruto Shippuden the Movie: The Lost Tower,"['Q188473', 'Q319221', 'Q157394']",85.0,2010-07-31,70275937,,,
Q80204,movie,Anna Karenina,"['Q130232', 'Q860626', 'Q52207399']",130.0,2012-09-07,70243443,,,
Q80227,movie,Repentance,Q130232,153.0,1984-01-01,60033359,,,
Q81224,movie,Inside Man,"['Q959790', 'Q496523', 'Q130232', 'Q2484376']",129.0,2006-03-20,70044379,,,
Q84064,movie,Bread and Tulips,Q860626,114.0,2000-01-01,60020983,,,
Q94428,tv,Kung Fu Panda: Legends of Awesomeness,Q9335576,23.0,,,,,7acfc9e1-a6cf-4cdd-91dd-7e184f16ac3b
Q104814,movie,Aliens,"['Q188473', 'Q471839', 'Q319221', 'Q2484376', 'Q200092', 'Q10663882', 'Q130232']",137.0,1986-01-01,60029358,224lP4LHXbRb,,
Q108543,movie,Alien 3,"['Q200092', 'Q471839', 'Q319221', 'Q586250', 'Q10663882']",114.0,1992-05-22,60029355,6vdNV13cJue5,,
Q108946,movie,A Few Good Men,"['Q959790', 'Q130232', 'Q643873', 'Q3072039', 'Q2484376']",138.0,1992-01-01,499243,,,
Q110354,movie,The Great Escape,"['Q369747', 'Q130232', 'Q586250', 'Q52207310']",165.0,1963-01-01,558381,,,
Q111655,movie,"20,000 Leagues Under the Sea","['Q319221', 'Q226730', 'Q52207399', 'Q471839']",105.0,1916-01-01,207730,,,
Q113428,movie,The Profession of Arms,"['Q130232', 'Q17013749', 'Q319221', 'Q369747']",100.0,2001-01-01,70041029,,,
Q114076,movie,A Knight's Tale,"['Q188473', 'Q157443', 'Q1054574', 'Q10654943', 'Q319221']",132.0,2001-03-08,60020626,,,
Q115776,movie,The Mad,"['Q224700', 'Q3072049']",80.0,2007-01-01,70066184,,,
Q116928,movie,The Twilight Saga: New Moon,"['Q1054574', 'Q1146335', 'Q2137852', 'Q200092', 'Q130232', 'Q157394', 'Q52207399', 'Q188473', 'Q5258881']",131.0,2009-11-16,70113010,3UcAG1uKrtEO,,
Q118713,movie,Freaky Friday,"['Q157443', 'Q157394', 'Q52207399', 'Q860626', 'Q842256']",97.0,2003-08-06,60029193,3fHmXbluw63h,,
Q119889,movie,Aliens in the Attic,"['Q471839', 'Q157443', 'Q2143665']",107.0,2009-07-31,70120160,,,
Q122113,movie,Super,"['Q2678111', 'Q859369', 'Q1535153', 'Q157443']",92.0,2010-01-01,70135881,,,
Q125494,movie,Bread and Roses,Q130232,110.0,2000-01-01,60020770,,,
Q126183,movie,Working Girl,"['Q860626', 'Q859369']",109.0,1988-12-21,60011596,gSqzTIjgBM6d,,
Q126382,movie,Funny Man,"['Q224700', 'Q157443', 'Q200092']",84.0,1994-01-01,70049771,,,
Q126492,movie,Malibu's Most Wanted,"['Q1146335', 'Q157443']",86.0,2003-04-10,60027594,,,
Q126800,movie,Happy Feet,"['Q663106', 'Q842256', 'Q191489', 'Q157443', 'Q1361932', 'Q25110269']",108.0,2006-11-17,70043941,,,
Q127045,movie,The Last Supper,"['Q859369', 'Q959790', 'Q53094']",92.0,1995-01-01,60025645,,,
Q127367,movie,The Lord of the Rings: The Fellowship of the Ring,"['Q157394', 'Q319221', 'Q130232', 'Q188473', 'Q52207399']",178.0,2001-01-01,60004480,,,
Q127421,movie,King Kong Lives,"['Q188473', 'Q130232', 'Q157394', 'Q471839']",98.0,1986-12-19,70003641,,,
Q127897,movie,Jersey Girl,"['Q860626', 'Q859369', 'Q157443', 'Q1919632']",98.0,2004-03-09,60033336,,,
Q128646,movie,2 Days in Paris,"['Q860626', 'Q130232']",96.0,2007-01-01,70063213,,,
Q128975,movie,The Last Frontier,"['Q172980', 'Q188473']",98.0,1955-01-01,70038028,,,
Q129068,movie,Retro Puppet Master,"['Q200092', 'Q188473']",95.0,1999-01-01,70118020,,,
Q129313,tv,A Colbert Christmas: The Greatest Gift of All!,Q28026639,,,70106414,,,
Q129959,movie,Beethoven's 3rd,Q157443,94.0,2000-01-01,60001330,,,
